"date","site","round","starttime","endtime","start30","end30","year","starttemp","endtemp","avg.temp"
2020-06-30,"Emerald Lake Hill",NA,"14:49","15:28","15:00","15:30",2020,26.585,24.158,25.3715
2020-06-30,"Emerald Lake Shore",NA,"15:07","15:39","15:00","15:30",2020,16.903,16.713,16.808
2020-07-01,"Avery Picnic",NA,"10:38","11:35","10:30","11:30",2020,10.944,28.357,19.6505
2020-07-01,"403 Bench",NA,"12:49","13:02","13:00","13:00",2020,27.272,27.272,27.272
2020-07-01,"Rustlers Gulch",NA,"12:01","12:47","12:00","13:00",2020,22.333,23.966,23.1495
2020-07-02,"Virginia Basin",NA,"11:12","12:39","11:00","12:30",2020,22.525,25.708,24.1165
2020-07-02,"Meridian",NA,"13:22","13:51","13:30","14:00",2020,32.911,26.977,29.944
2020-07-02,"Wash 3C",NA,"10:59","11:11","11:00","11:00",2020,28.853,28.853,28.853
2020-07-02,"Pfeiler",NA,"11:44","12:35","11:30","12:30",2020,23.677,24.062,23.8695
2020-07-06,"Lake Irwin",NA,"10:08","10:29","10:00","10:30",2020,28.258,29.552,28.905
2020-07-06,"Kebler Pass",NA,"10:55","11:16","11:00","11:30",NA,NA,NA,NA
2020-07-06,"Ohio Pass High",NA,"11:53","12:09","12:00","12:00",2020,28.06,28.06,28.06
2020-07-06,"Ohio Pass Low",NA,"12:41","12:55","12:30","13:00",2020,20.519,21.569,21.044
2020-07-07,"Gothic Town",NA,"12:10","13:22","12:00","13:30",2020,25.708,23.966,24.837
2020-07-07,"Stupid Falls",NA,"10:25","11:01","10:30","11:00",NA,NA,NA,NA
2020-07-07,"Brush Creek Hill",NA,"11:57","12:30","12:00","12:30",2020,36.187,37.604,36.8955
2020-07-07,"Brush Creek Trail",NA,"10:30","11:21","10:30","11:30",2020,27.075,31.676,29.3755
2020-07-08,"Avery Picnic",NA,"10:33","11:06","10:30","11:00",2020,12.497,24.738,18.6175
2020-07-08,"Rustlers Gulch",NA,"12:01","12:34","12:00","12:30",2020,24.351,25.125,24.738
2020-07-08,"403 Bench",NA,"12:17","12:52","12:30","13:00",2020,27.961,29.152,28.5565
2020-07-08,"Emerald Lake Hill",NA,"14:01","14:21","14:00","14:30",2020,29.853,29.652,29.7525
2020-07-08,"Emerald Lake Shore",NA,"13:17","13:42","13:30","13:30",2020,26.292,26.292,26.292
